status, ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7 
0,-4945663,-4971246,-5137266,-3202565,-4707179,-4608559,-5253399,-887708 
0,-4930299,-4974484,-5141469,-3189324,-4711948,-4614439,-5250288,-880338 
0,-4919959,-4974564,-5142527,-3171261,-4712934,-4616424,-5244429,-884502 
0,-4928924,-4971906,-5139294,-3173449,-4709184,-4612214,-5244337,-893890 
0,-4944756,-4970208,-5136527,-3191432,-4705981,-4607872,-5250140,-895586 
0,-4946356,-4971977,-5138134,-3200792,-4707919,-4609251,-5254021,-887416 
0,-4930489,-4974856,-5141918,-3186715,-4712325,-4614867,-5250320,-879341 
0,-4920102,-4974841,-5142536,-3169349,-4712986,-4616689,-5244509,-884154 
0,-4928856,-4971792,-5138862,-3172101,-4708954,-4612080,-5243897,-893612 
0,-4944421,-4969921,-5135980,-3190401,-4705929,-4607362,-5249464,-895211 
0,-4945859,-4971538,-5137455,-3199964,-4707573,-4608707,-5253478,-886873 
0,-4930142,-4974588,-5141370,-3187054,-4711832,-4614524,-5250054,-880057 
0,-4919924,-4974256,-5141941,-3171144,-4712625,-4616297,-5244527,-886180 
0,-4928804,-4971245,-5138399,-3173524,-4708462,-4611704,-5244331,-894303 
0,-4944541,-4969509,-5135681,-3192091,-4705537,-4607372,-5248880,-895835 
0,-4945529,-4971084,-5137158,-3201689,-4707059,-4608702,-5252934,-888417 
0,-4929517,-4973795,-5140939,-3187530,-4711503,-4614318,-5249596,-880357 
0,-4919654,-4973877,-5141685,-3171122,-4712276,-4616013,-5244166,-885459 
0,-4928979,-4971278,-5138481,-3173914,-4708603,-4611669,-5244706,-894097 
0,-4944426,-4969657,-5135591,-3191910,-4705376,-4607081,-5249682,-895164 
0,-4945392,-4971423,-5137059,-3201195,-4706903,-4608467,-5253038,-887240 
0,-4929846,-4974568,-5141236,-3187945,-4711785,-4614494,-5249744,-879840 
0,-4919673,-4974382,-5141756,-3171524,-4712505,-4616207,-5243964,-884699 
0,-4928828,-4971414,-5138465,-3174726,-4708949,-4611913,-5243997,-894019 
0,-4944467,-4969509,-5135596,-3192634,-4705213,-4607237,-5249672,-895009 
0,-4945373,-4971255,-5137114,-3201864,-4707030,-4608649,-5253283,-887515 
0,-4929622,-4974202,-5140935,-3189424,-4711501,-4614253,-5249941,-882097 
0,-4919877,-4974394,-5141731,-3172107,-4712211,-4615964,-5244469,-885185 
0,-4929063,-4971414,-5138097,-3175067,-4707896,-4611103,-5244231,-893991 
0,-4944774,-4970062,-5135669,-3192974,-4705174,-4607140,-5250275,-894812 
0,-4945564,-4971689,-5137233,-3202218,-4707304,-4608636,-5253486,-887580 
0,-4929547,-4974186,-5140973,-3188901,-4711882,-4614222,-5249716,-880612 
0,-4919561,-4974062,-5141540,-3172554,-4712495,-4615881,-5243999,-885466 
0,-4928774,-4971068,-5138057,-3175563,-4708436,-4611393,-5243876,-894299 
0,-4944456,-4969549,-5135602,-3193231,-4705536,-4607169,-5250019,-895208 
0,-4945653,-4971637,-5137525,-3202170,-4707691,-4609138,-5253657,-887319 
0,-4929966,-4974936,-5141605,-3189000,-4712601,-4615181,-5250127,-880433 
0,-4919864,-4974519,-5141852,-3172567,-4712982,-4616437,-5244237,-884859 
0,-4928869,-4971231,-5138014,-3175739,-4708493,-4611457,-5243961,-893787 
