status, ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7 
0,-5077447,-5059858,-5284934,-3100231,-4852245,-4773680,-5344399,-923669 
0,-5084747,-5060552,-5285577,-3114164,-4852796,-4773401,-5347429,-918189 
0,-5077758,-5064504,-5289306,-3110237,-4856826,-4778195,-5346674,-910139 
0,-5065830,-5066044,-5291047,-3093227,-4859229,-4781276,-5344406,-911073 
0,-5065803,-5062756,-5287859,-3087873,-4856186,-4778262,-5342002,-919874 
0,-5077152,-5059662,-5284702,-3100057,-4851984,-4773815,-5344154,-923157 
0,-5084937,-5060706,-5285776,-3113986,-4852941,-4774047,-5347577,-917341 
0,-5078087,-5064581,-5289589,-3110175,-4857306,-4778696,-5346827,-909584 
0,-5066161,-5066480,-5291406,-3093273,-4859892,-4782006,-5344586,-911160 
0,-5065871,-5063197,-5288160,-3087367,-4856261,-4778756,-5341977,-920049 
0,-5077152,-5060023,-5285127,-3098971,-4852536,-4774044,-5344226,-923229 
0,-5085096,-5060937,-5286130,-3113476,-4853252,-4774189,-5347744,-918566 
0,-5078317,-5064629,-5289744,-3109864,-4857355,-4778739,-5347041,-910658 
0,-5066274,-5066451,-5291463,-3092624,-4859714,-4781729,-5344912,-911489 
0,-5065827,-5063256,-5288314,-3086852,-4856547,-4778676,-5342424,-920186 
0,-5076992,-5059934,-5285117,-3098614,-4852584,-4773977,-5344379,-923499 
0,-5085007,-5060787,-5286016,-3113156,-4853368,-4773993,-5347842,-918842 
0,-5078312,-5064374,-5289522,-3109700,-4856989,-4778512,-5347350,-911063 
0,-5066101,-5065989,-5291292,-3092322,-4859085,-4781808,-5344912,-911531 
0,-5065706,-5063044,-5288356,-3086416,-4856289,-4778844,-5342277,-920329 
0,-5076811,-5059959,-5285104,-3097969,-4852835,-4774246,-5344018,-923414 
0,-5084756,-5060814,-5285730,-3112369,-4853038,-4773858,-5347403,-918247 
0,-5078219,-5064542,-5289341,-3109559,-4857031,-4778273,-5346801,-910957 
0,-5066137,-5066212,-5291205,-3092382,-4859416,-4781856,-5344812,-911827 
0,-5065470,-5062917,-5288092,-3085986,-4856165,-4778584,-5342262,-920483 
0,-5076612,-5059788,-5284877,-3097758,-4852189,-4773704,-5344126,-924141 
