status, ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7 
0,-4937929,-4875938,-5107467,-2360780,-4780683,-4594855,-5106179,-892519 
0,-4945247,-4872322,-5104346,-2367634,-4776454,-4590172,-5107300,-895713 
0,-4953121,-4872437,-5104790,-2380732,-4776249,-4589532,-5112769,-892351 
0,-4950584,-4875993,-5108033,-2381839,-4780308,-4593636,-5114868,-885681 
0,-4940911,-4878429,-5109899,-2368273,-4783221,-4597247,-5110834,-884702 
0,-4938162,-4875926,-5107443,-2361143,-4780647,-4594814,-5106365,-893231 
0,-4945631,-4872366,-5104399,-2368631,-4776778,-4590299,-5107637,-896901 
0,-4953231,-4872591,-5104930,-2380930,-4776692,-4589706,-5112974,-892451 
0,-4950396,-4876231,-5108129,-2381444,-4780546,-4593776,-5114864,-885764 
0,-4940929,-4878729,-5110022,-2368427,-4783536,-4597484,-5110790,-886139 
0,-4938297,-4875854,-5107189,-2360706,-4780474,-4594707,-5105961,-893003 
0,-4945769,-4872212,-5104196,-2368333,-4776564,-4590032,-5107490,-895826 
0,-4953219,-4872549,-5104937,-2380512,-4776763,-4589917,-5113060,-890956 
0,-4949981,-4876059,-5108061,-2380964,-4780557,-4593847,-5114637,-884935 
0,-4940341,-4878303,-5109736,-2367082,-4783269,-4597114,-5110371,-884177 
0,-4938073,-4875414,-5106941,-2360585,-4780267,-4594543,-5105873,-892262 
0,-4945742,-4871846,-5103947,-2369196,-4776362,-4590121,-5107461,-896132 
0,-4953009,-4872281,-5104744,-2381466,-4776776,-4589752,-5112940,-892030 
0,-4949692,-4876046,-5108100,-2380999,-4780689,-4594022,-5114632,-885299 
0,-4940175,-4878210,-5109717,-2367362,-4783602,-4597325,-5110326,-885414 
0,-4938061,-4875169,-5106684,-2360964,-4780332,-4594234,-5105752,-892874 
0,-4945967,-4871832,-5103810,-2369309,-4776136,-4589772,-5107629,-895661 
0,-4953166,-4872510,-5104771,-2381821,-4776697,-4589809,-5113138,-891602 
0,-4949497,-4876344,-5108134,-2380941,-4780771,-4594326,-5114548,-884639 
0,-4940116,-4878518,-5109715,-2367455,-4783362,-4597684,-5110287,-885281 
0,-4938202,-4875289,-5106589,-2362033,-4779851,-4594297,-5105794,-894089 
0,-4946209,-4871892,-5103807,-2370787,-4776027,-4589777,-5107782,-897291 
0,-4953210,-4872617,-5104894,-2382377,-4776986,-4589797,-5113274,-892261 
0,-4949142,-4876309,-5108064,-2380894,-4780671,-4593949,-5114537,-885428 
0,-4939722,-4878260,-5109432,-2368211,-4782999,-4596966,-5110021,-887604 
0,-4938276,-4875105,-5106457,-2363059,-4779945,-4593903,-5105757,-895870 
0,-4946382,-4871777,-5103772,-2370779,-4776044,-4589626,-5107949,-896517 
0,-4953175,-4872546,-5104878,-2381892,-4776792,-4589932,-5113391,-890716 
0,-4949127,-4876530,-5108385,-2379457,-4781061,-4594479,-5114651,-882734 
0,-4939577,-4878291,-5109516,-2366706,-4783209,-4597131,-5109881,-885404 
0,-4938313,-4875137,-5106409,-2361768,-4779794,-4593863,-5105596,-893679 
0,-4946747,-4872021,-5103913,-2370922,-4776187,-4589761,-5108051,-895808 
0,-4953399,-4872837,-5105154,-2383021,-4777181,-4590050,-5113504,-891990 
0,-4948847,-4876518,-5108384,-2381032,-4781177,-4594526,-5114502,-886131 
0,-4939346,-4878045,-5109407,-2367318,-4783137,-4597132,-5109596,-887186 
0,-4938371,-4874588,-5106148,-2362051,-4779474,-4593610,-5105524,-894051 
0,-4946760,-4871474,-5103536,-2371389,-4775489,-4589303,-5108123,-896272 
0,-4953249,-4872707,-5105020,-2383344,-4776963,-4589997,-5113682,-892222 
0,-4948459,-4876552,-5108387,-2380561,-4781186,-4594569,-5114289,-885610 
0,-4939045,-4877921,-5109190,-2366981,-4782872,-4596947,-5109356,-887223 
0,-4938418,-4874486,-5105917,-2362500,-4779292,-4593415,-5105474,-894619 
0,-4947190,-4871782,-5103685,-2372164,-4775969,-4589571,-5108301,-896449 
0,-4953326,-4873011,-5105114,-2383451,-4777106,-4590281,-5113521,-891754 
0,-4948130,-4876836,-5108445,-2380171,-4781295,-4594661,-5114129,-885303 
0,-4938850,-4878017,-5109225,-2366255,-4782904,-4596801,-5109104,-886385 
0,-4938577,-4874431,-5105936,-2362531,-4779313,-4593250,-5105280,-894124 
0,-4947343,-4871584,-5103742,-2371962,-4776029,-4589524,-5108269,-894981 
0,-4953346,-4872844,-5105344,-2382654,-4777402,-4590343,-5113752,-889909 
0,-4947856,-4876605,-5108471,-2379549,-4781203,-4594856,-5114051,-884449 
0,-4938611,-4877806,-5109018,-2366168,-4782758,-4596856,-5108954,-886334 
0,-4938526,-4874210,-5105548,-2362433,-4778802,-4592871,-5105202,-893412 
0,-4947429,-4871563,-5103480,-2373114,-4775504,-4589269,-5108417,-895880 
0,-4953184,-4873070,-5105129,-2383756,-4776848,-4590255,-5113892,-890924 
0,-4947485,-4876824,-5108379,-2379838,-4781180,-4594777,-5114012,-885214 
0,-4938339,-4877706,-5108774,-2366773,-4782401,-4596622,-5108690,-888154 
0,-4938539,-4874072,-5105375,-2363775,-4778628,-4592614,-5105097,-895669 
0,-4947395,-4871342,-5103366,-2373124,-4775528,-4589041,-5108334,-895469 
0,-4953038,-4872887,-5105228,-2383314,-4777232,-4590209,-5113811,-890169 
0,-4947189,-4876687,-5108464,-2379111,-4781198,-4594879,-5113827,-884720 
0,-4938244,-4877639,-5108854,-2366324,-4782245,-4596699,-5108637,-887958 
