status, ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7 
0,-4961616,-4906975,-5136108,-2580543,-4800334,-4665519,-5143157,-891146 
0,-4959682,-4905486,-5134842,-2568566,-4799142,-4664510,-5139245,-898404 
0,-4966599,-4900666,-5130396,-2578900,-4794232,-4658417,-5140184,-906679 
0,-4972747,-4898712,-5128564,-2597464,-4791887,-4655485,-5144184,-905404 
0,-4969815,-4902552,-5132186,-2598191,-4795889,-4660090,-5146024,-894791 
0,-4961529,-4907161,-5136431,-2580082,-4800847,-4665770,-5143241,-891089 
0,-4959731,-4905502,-5134887,-2568554,-4799052,-4664209,-5139306,-898757 
0,-4966465,-4900344,-5130044,-2578436,-4793645,-4657916,-5139956,-905857 
0,-4972731,-4898692,-5128587,-2595874,-4791809,-4655286,-5144349,-902602 
0,-4969892,-4902869,-5132557,-2596712,-4796117,-4660188,-5146496,-892674 
0,-4961631,-4907234,-5136567,-2578504,-4800787,-4665749,-5143457,-889713 
0,-4960014,-4905553,-5134925,-2568219,-4799316,-4664006,-5139398,-898831 
0,-4966812,-4900392,-5130200,-2579276,-4793537,-4657850,-5140165,-906672 
0,-4972777,-4898562,-5128682,-2597158,-4791499,-4655328,-5144537,-904183 
0,-4969566,-4902794,-5132434,-2596916,-4796230,-4659932,-5146347,-893270 
0,-4961486,-4907453,-5136560,-2578400,-4800878,-4665892,-5143236,-889604 
0,-4959961,-4905409,-5134632,-2568256,-4798843,-4663812,-5139148,-898521 
0,-4967140,-4900502,-5130112,-2580378,-4793867,-4657921,-5140444,-907161 
0,-4972996,-4899067,-5128700,-2597633,-4791953,-4655209,-5144824,-903676 
0,-4969405,-4903372,-5132509,-2597625,-4796049,-4659692,-5146310,-894646 
0,-4961132,-4907484,-5136388,-2579384,-4800871,-4665619,-5142856,-892678 
0,-4960087,-4905159,-5134534,-2568796,-4799056,-4663809,-5139379,-900061 
0,-4967190,-4900014,-5129691,-2579889,-4793147,-4657333,-5140328,-906326 
0,-4973063,-4898724,-5128558,-2597320,-4791625,-4655159,-5144716,-902710 
0,-4969338,-4903086,-5132596,-2596137,-4796257,-4660158,-5146224,-892389 
0,-4961127,-4907083,-5136457,-2577833,-4800999,-4665556,-5143067,-890811 
0,-4960168,-4904886,-5134519,-2568985,-4799175,-4663386,-5139162,-900351 
0,-4967362,-4900004,-5129837,-2580316,-4793466,-4656956,-5140446,-906189 
0,-4972872,-4898698,-5128644,-2596979,-4791586,-4655031,-5144818,-901894 
0,-4969004,-4903123,-5132699,-2596161,-4796307,-4660285,-5146214,-892904 
0,-4960843,-4907071,-5136312,-2577825,-4800899,-4665516,-5142659,-891609 
0,-4960330,-4904801,-5134262,-2570309,-4798815,-4663351,-5139124,-902885 
0,-4967426,-4899504,-5129431,-2582088,-4792972,-4656956,-5140118,-908626 
0,-4972627,-4898237,-5128257,-2597791,-4791692,-4654959,-5144143,-902449 
