status, ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7 
-10,-5240012,-5105661,-5147447,-2327858,-4999729,-5000777,-5369632,-1069432 
-10,-5243811,-5104536,-5155516,-2354334,-4998636,-4999345,-5368187,-1072616 
0,-5241420,-5107913,-5147077,-2352072,-5001289,-5002442,-5372014,-1064519 
0,-5235941,-5111137,-5133791,-2326889,-5004271,-5005744,-5375719,-1063136 
0,-5235359,-5109567,-5134845,-2313231,-5002884,-5004425,-5373997,-1067476 
0,-5240253,-5105769,-5148157,-2333019,-4999810,-5000708,-5369571,-1078452 
0,-5243634,-5104500,-5155252,-2355454,-4998398,-4999125,-5368078,-1075238 
0,-5240973,-5107752,-5146385,-2351031,-5001074,-5002182,-5371884,-1064641 
0,-5235810,-5111086,-5133611,-2327107,-5004156,-5005781,-5375629,-1065535 
0,-5235463,-5109399,-5135291,-2320186,-5002921,-5004372,-5373764,-1080646 
0,-5240340,-5105496,-5148371,-2339061,-4999582,-5000456,-5369411,-1089034 
0,-5243736,-5104498,-5155332,-2359760,-4998447,-4999174,-5368187,-1082984 
0,-5240962,-5107963,-5146176,-2352824,-5001180,-5002421,-5372098,-1069517 
0,-5235768,-5111051,-5133413,-2327385,-5003996,-5005791,-5375632,-1068511 
0,-5235682,-5109276,-5135537,-2318300,-5002857,-5004472,-5373619,-1078677 
0,-5240426,-5105326,-5148476,-2336057,-4999571,-5000594,-5368938,-1084116 
0,-5243849,-5104561,-5155302,-2356336,-4998735,-4999389,-5368277,-1077407 
0,-5241027,-5108254,-5146081,-2351464,-5001714,-5002725,-5372452,-1068992 
0,-5235573,-5111226,-5132957,-2322042,-5004071,-5005799,-5375178,-1061976 
0,-5235569,-5109304,-5135390,-2312038,-5002671,-5004284,-5373262,-1069238 
0,-5240634,-5105445,-5148741,-2331801,-4999472,-5000442,-5369137,-1076609 
0,-5244006,-5104736,-5155484,-2355624,-4998766,-4999411,-5368320,-1076031 
0,-5241017,-5108450,-5145819,-2351114,-5001651,-5002789,-5372541,-1069636 
0,-5236022,-5111593,-5133607,-2328334,-5004526,-5006110,-5375917,-1074227 
0,-5236283,-5109716,-5136537,-2322719,-5003056,-5004557,-5373610,-1087921 
0,-5240952,-5105654,-5149370,-2341119,-4999443,-5000442,-5369074,-1092685 
0,-5243941,-5105026,-5155235,-2359306,-4998548,-4999430,-5368371,-1083617 
0,-5240970,-5108891,-5145406,-2353467,-5001699,-5003106,-5372751,-1076257 
0,-5235896,-5111751,-5133204,-2327972,-5004287,-5006171,-5376013,-1076411 
0,-5236063,-5109507,-5136378,-2320437,-5002626,-5004335,-5373627,-1085641 
0,-5241079,-5105622,-5149627,-2340310,-4999252,-5000428,-5369289,-1091618 
0,-5244041,-5105107,-5155210,-2359155,-4998629,-4999592,-5368606,-1083933 
0,-5240736,-5108921,-5144785,-2350420,-5001797,-5003180,-5372818,-1072969 
0,-5235760,-5111589,-5132968,-2326830,-5004306,-5006179,-5375918,-1076523 
0,-5236253,-5109342,-5136456,-2319329,-5002575,-5004295,-5373529,-1084619 
0,-5240989,-5105286,-5149064,-2332972,-4998972,-5000004,-5369086,-1078852 
0,-5244037,-5104914,-5154926,-2356417,-4998575,-4999337,-5368672,-1079423 
0,-5240536,-5108788,-5144191,-2348132,-5001579,-5002925,-5372907,-1070579 
0,-5235502,-5111427,-5132431,-2320790,-5003919,-5005916,-5375764,-1067562 
0,-5236307,-5109177,-5136855,-2317498,-5002397,-5004160,-5373429,-1081368 
0,-5241311,-5105306,-5150140,-2339061,-4999084,-5000269,-5369065,-1088311 
