0[-7670394, -7649564, -7639089, -7658777, -7660720, -7670341, -7637492, -8388608]
0[-7650998, -7649262, -7673119, -7658152, -7658879, -7667084, -7638179, -8388608]
0[-7646783, -7647574, -7679921, -7656050, -7653236, -7665149, -7635643, -8388608]
0[-7656439, -7646725, -7668542, -7655081, -7651257, -7664182, -7634359, -8388608]
0[-7674660, -7646379, -7655861, -7654935, -7650986, -7663299, -7634531, -8388608]
0[-7673249, -7646576, -7660431, -7654788, -7651306, -7662557, -7634731, -8388608]
0[-7655000, -7646708, -7672897, -7655343, -7652394, -7661538, -7634701, -8388608]
0[-7647670, -7645976, -7672581, -7654529, -7650761, -7660679, -7634031, -8388608]
0[-7657608, -7646149, -7661492, -7654554, -7650445, -7660244, -7634066, -8388608]
0[-7676154, -7645942, -7649081, -7654652, -7650841, -7659644, -7634096, -8388608]
0[-7674583, -7645779, -7653709, -7654416, -7649988, -7658865, -7633912, -8388608]
0[-7656141, -7645215, -7666637, -7654228, -7650063, -7658358, -7633975, -8388608]
0[-7647864, -7645783, -7666304, -7654465, -7650984, -7657609, -7633821, -8388608]
0[-7657406, -7645835, -7654819, -7653991, -7649795, -7656865, -7633686, -8388608]
0[-7675686, -7645731, -7642249, -7653914, -7650504, -7656161, -7633709, -8388608]
0[-7673272, -7645604, -7647793, -7654254, -7650277, -7655439, -7634186, -8388608]
0[-7654366, -7644151, -7660930, -7653701, -7648405, -7654966, -7633994, -8388608]
0[-7646921, -7644413, -7659554, -7653532, -7648308, -7654676, -7634201, -8388608]
0[-7656636, -7645585, -7646457, -7654039, -7650381, -7654052, -7634223, -8388608]
0[-7673902, -7647354, -7625494, -7656312, -7656595, -7652331, -7635191, -8388608]
0[-7668739, -7648343, -7638366, -7658307, -7661767, -7648814, -7638221, -8388608]
0[-7649126, -7648128, -7672581, -7657372, -7658297, -7645315, -7637201, -8388608]
0[-7645227, -7647257, -7679859, -7655134, -7653108, -7643238, -7634848, -8388608]
0[-7655696, -7646276, -7668046, -7654314, -7650791, -7642222, -7634027, -8388608]
0[-7673796, -7645911, -7655522, -7654366, -7651169, -7641391, -7633653, -8388608]
0[-7671416, -7645261, -7660868, -7653937, -7649972, -7640748, -7634012, -8388608]
0[-7653191, -7644456, -7674034, -7653588, -7648016, -7640406, -7633826, -8388608]
0[-7646865, -7644589, -7673141, -7653403, -7648159, -7640097, -7634083, -8388608]
0[-7657193, -7645306, -7661736, -7653721, -7649630, -7639641, -7634272, -8388608]
0[-7675610, -7645109, -7649673, -7653654, -7649719, -7639066, -7634277, -8388608]
0[-7672931, -7645487, -7655292, -7653739, -7650081, -7638422, -7634184, -8388608]
0[-7653837, -7644086, -7668206, -7653284, -7648759, -7637852, -7634199, -8388608]
0[-7646520, -7644456, -7666951, -7653294, -7648625, -7637406, -7634310, -8388608]
0[-7656664, -7644851, -7655531, -7653126, -7648249, -7636919, -7634321, -8388608]
0[-7674882, -7644637, -7643487, -7653268, -7649691, -7636372, -7634351, -8388608]
0[-7671341, -7645138, -7648933, -7653572, -7650307, -7635491, -7634136, -8388608]
0[-7652054, -7644665, -7661059, -7653734, -7650162, -7634590, -7633808, -8388608]
0[-7645872, -7644806, -7659351, -7653486, -7649898, -7633753, -7633538, -8388608]
0[-7655816, -7645776, -7645691, -7653784, -7650755, -7632695, -7633241, -8388608]
0[-7672771, -7647056, -7624962, -7655796, -7654541, -7630455, -7635310, -8388608]
0[-7666630, -7648047, -7639552, -7657057, -7660300, -7609799, -7638064, -8388608]
0[-7647091, -7647349, -7672859, -7658038, -7665016, -7588642, -7638889, -8388608]
0[-7644138, -7646479, -7675726, -7657607, -7661652, -7593863, -7637881, -8388608]
0[-7653942, -7646660, -7661696, -7656887, -7659137, -7601811, -7636927, -8388608]
0[-7669546, -7647090, -7647316, -7657159, -7660272, -7609823, -7637572, -8388608]
0[-7663523, -7647468, -7651395, -7656956, -7659491, -7617818, -7637318, -8388608]
0[-7645031, -7647389, -7661383, -7657618, -7661551, -7625509, -7638356, -8388608]
0[-7642863, -7646352, -7655588, -7658662, -7663939, -7632382, -7639406, -8388608]
0[-7653611, -7646047, -7636862, -7657697, -7661481, -7639758, -7638469, -8388608]
0[-7668136, -7645383, -7617121, -7658816, -7666162, -7646446, -7640927, -8388608]
0[-7660139, -7643779, -7633542, -7658599, -7668463, -7652042, -7641863, -8388608]
0[-7641232, -7642244, -7665691, -7658373, -7667229, -7657812, -7640777, -8388608]
0[-7640254, -7641106, -7672290, -7659194, -7664798, -7664277, -7640443, -8388608]
0[-7653129, -7640851, -7658006, -7659319, -7661359, -7673241, -7639243, -8388608]
0[-7669738, -7642035, -7644517, -7657056, -7656799, -7704275, -7636997, -8388608]
0[-7665469, -7644781, -7651000, -7656094, -7651537, -7723677, -7635453, -8388608]
0[-7648832, -7647254, -7663152, -7656906, -7654464, -7723054, -7636454, -8388608]
0[-7647354, -7648867, -7659746, -7656721, -7654070, -7721497, -7636281, -8388608]
0[-7658847, -7649453, -7644861, -7656502, -7653355, -7720417, -7636022, -8388608]
0[-7675448, -7650077, -7625534, -7658999, -7659126, -7718493, -7638697, -8388608]
0[-7668578, -7650899, -7643293, -7659902, -7661461, -7715192, -7639614, -8388608]
0[-7650054, -7650241, -7677820, -7658321, -7657486, -7712450, -7637954, -8388608]
0[-7647815, -7647921, -7681942, -7656337, -7652697, -7711151, -7636144, -8388608]
0[-7659472, -7647304, -7670406, -7655444, -7650477, -7710732, -7635874, -8388608]
0[-7677784, -7646825, -7659379, -7655579, -7650195, -7710492, -7636344, -8388608]
0[-7673213, -7646868, -7666739, -7655295, -7650674, -7709929, -7636446, -8388608]
0[-7654075, -7646131, -7679025, -7655324, -7651260, -7709259, -7636394, -8388608]
0[-7648171, -7647772, -7675576, -7656310, -7653786, -7708327, -7636070, -8388608]
0[-7658642, -7647995, -7663277, -7656095, -7652942, -7707078, -7635501, -8388608]
0[-7675984, -7647476, -7651365, -7655852, -7652476, -7705991, -7635107, -8388608]
0[-7671222, -7648080, -7657338, -7656642, -7654728, -7704690, -7636026, -8388608]
0[-7652443, -7648849, -7668630, -7657400, -7656522, -7702759, -7637225, -8388608]
0[-7647583, -7648492, -7665232, -7656817, -7654972, -7700856, -7636864, -8388608]
0[-7658352, -7648216, -7651897, -7656151, -7653526, -7699507, -7636193, -8388608]
0[-7674962, -7648928, -7631725, -7657755, -7657567, -7697798, -7637661, -8388608]
0[-7667091, -7650276, -7643059, -7659824, -7662652, -7694349, -7640191, -8388608]
0[-7648453, -7650107, -7676384, -7658960, -7660097, -7690852, -7638968, -8388608]
0[-7647197, -7649413, -7679277, -7657281, -7655379, -7688707, -7637109, -8388608]
0[-7658787, -7648476, -7666925, -7656542, -7653377, -7687461, -7635754, -8388608]
0[-7675941, -7647766, -7655236, -7656200, -7653252, -7686391, -7635649, -8388608]
0[-7670493, -7647246, -7662684, -7655816, -7651675, -7685573, -7635216, -8388608]
0[-7652527, -7647035, -7674652, -7656122, -7653181, -7684704, -7635478, -8388608]
0[-7648714, -7648048, -7670456, -7656559, -7654027, -7683315, -7636366, -8388608]
0[-7659644, -7648130, -7657882, -7656204, -7653705, -7682016, -7635787, -8388608]
0[-7676288, -7648613, -7645866, -7656797, -7654899, -7680596, -7636512, -8388608]
0[-7670559, -7648310, -7652239, -7656744, -7654690, -7679059, -7636249, -8388608]
0[-7652212, -7648694, -7663608, -7657275, -7656308, -7677379, -7637012, -8388608]
0[-7648557, -7648326, -7659658, -7656872, -7654534, -7675699, -7636695, -8388608]
0[-7659748, -7648234, -7644384, -7656430, -7654121, -7674409, -7636334, -8388608]
0[-7675239, -7649949, -7624457, -7659125, -7661907, -7671841, -7639571, -8388608]
0[-7666756, -7650036, -7640739, -7660493, -7664755, -7667694, -7641300, -8388608]
0[-7647978, -7649643, -7673942, -7660180, -7661451, -7663994, -7639805, -8388608]
0[-7646807, -7649953, -7678171, -7658591, -7658591, -7661227, -7638540, -8388608]
0[-7658702, -7650302, -7664692, -7657687, -7655754, -7659389, -7637242, -8388608]
0[-7675216, -7648567, -7652873, -7656952, -7653827, -7658187, -7636606, -8388608]
0[-7669338, -7648581, -7660323, -7657294, -7654711, -7657004, -7636769, -8388608]
0[-7651787, -7648836, -7671515, -7657584, -7655695, -7655579, -7637156, -8388608]
0[-7649564, -7648731, -7667190, -7656862, -7654272, -7654176, -7636698, -8388608]
0[-7661218, -7648510, -7654638, -7656654, -7654086, -7653149, -7636161, -8388608]
0[-7677896, -7649051, -7643219, -7656823, -7655326, -7651903, -7636784, -8388608]
0[-7671560, -7649210, -7649958, -7657922, -7655406, -7650451, -7637302, -8388608]
0[-7653167, -7649244, -7661079, -7657906, -7656545, -7648832, -7637901, -8388608]
0[-7649899, -7648571, -7656844, -7656876, -7654089, -7647299, -7636986, -8388608]
0[-7661746, -7648472, -7640432, -7656805, -7653793, -7646395, -7636261, -8388608]
0[-7677438, -7650373, -7623356, -7659352, -7659944, -7644292, -7639245, -8388608]
0[-7668857, -7651025, -7642920, -7660646, -7662981, -7640752, -7640354, -8388608]
0[-7650094, -7650765, -7676612, -7658997, -7658929, -7637670, -7638962, -8388608]
0[-7648565, -7649007, -7680167, -7657297, -7654375, -7635892, -7636724, -8388608]
0[-7660754, -7648772, -7667394, -7656932, -7653907, -7634739, -7636746, -8388608]
0[-7677154, -7648942, -7655959, -7657367, -7654486, -7633524, -7637029, -8388608]
0[-7670566, -7648861, -7663141, -7657301, -7654287, -7629646, -7636746, -8388608]
0[-7652179, -7649934, -7673656, -7659248, -7662407, -7603371, -7639757, -8388608]
0[-7648845, -7650868, -7667240, -7659556, -7662447, -7593981, -7639791, -8388608]
0[-7659084, -7651202, -7650507, -7659639, -7662772, -7601952, -7640220, -8388608]
0[-7672864, -7650653, -7629082, -7660604, -7667072, -7609077, -7642556, -8388608]
0[-7662496, -7648759, -7643542, -7660409, -7669981, -7614669, -7644518, -8388608]
0[-7643228, -7646675, -7674987, -7659815, -7670677, -7620112, -7644552, -8388608]
0[-7643556, -7644986, -7675890, -7660296, -7669611, -7626255, -7643392, -8388608]
0[-7657219, -7644047, -7660168, -7661400, -7666481, -7633181, -7642377, -8388608]
0[-7671199, -7643846, -7646284, -7662197, -7666244, -7640437, -7642413, -8388608]
0[-7662658, -7643807, -7651718, -7662258, -7666072, -7647767, -7642892, -8388608]
0[-7645094, -7643418, -7660670, -7662346, -7666791, -7655004, -7643053, -8388608]
0[-7645699, -7642502, -7653647, -7662474, -7667285, -7661972, -7643270, -8388608]
0[-7658732, -7641632, -7631217, -7662227, -7669110, -7668829, -7644545, -8388608]
0[-7671457, -7640096, -7617595, -7662686, -7672682, -7674648, -7646233, -8388608]
0[-7661004, -7638255, -7637083, -7662018, -7673028, -7685922, -7646127, -8388608]
0[-7643207, -7636977, -7668542, -7662022, -7669429, -7717979, -7644746, -8388608]
0[-7645212, -7636916, -7675802, -7663483, -7664102, -7724946, -7643205, -8388608]
0[-7660837, -7638196, -7662311, -7662419, -7660181, -7722817, -7641650, -8388608]
0[-7676981, -7640635, -7651317, -7661193, -7658234, -7721507, -7640461, -8388608]
0[-7669316, -7643033, -7659415, -7661457, -7659324, -7720167, -7640732, -8388608]
0[-7652757, -7644827, -7669836, -7661627, -7659920, -7718372, -7641362, -8388608]
0[-7652618, -7646359, -7664050, -7660957, -7658755, -7716552, -7640737, -8388608]
0[-7665012, -7648546, -7646909, -7661468, -7659633, -7715140, -7641067, -8388608]
0[-7679659, -7649503, -7630006, -7664093, -7665722, -7712526, -7644014, -8388608]
0[-7670211, -7649522, -7650942, -7664475, -7666112, -7709007, -7644352, -8388608]
0[-7652411, -7650152, -7684377, -7663022, -7662664, -7706264, -7642664, -8388608]
0[-7652663, -7651676, -7685797, -7661709, -7659476, -7704548, -7641334, -8388608]
0[-7665936, -7653843, -7672812, -7661003, -7657574, -7703421, -7640708, -8388608]
