0[-7778117, -7741634, -7761775, -7762057, -7759555, -7823374, -7742196, -8388608]
0[-7763286, -7743841, -7774134, -7761956, -7759683, -7822059, -7742127, -8388608]
0[-7752591, -7745456, -7778387, -7762529, -7761066, -7820449, -7742607, -8388608]
0[-7758849, -7747224, -7768066, -7762254, -7760206, -7818954, -7742129, -8388608]
0[-7776082, -7749580, -7754291, -7761591, -7758961, -7817849, -7741832, -8388608]
0[-7782767, -7752108, -7753144, -7761549, -7758148, -7816823, -7741850, -8388608]
0[-7766834, -7754444, -7766498, -7761316, -7757721, -7815907, -7741128, -8388608]
0[-7753822, -7754189, -7770032, -7761350, -7758596, -7814964, -7741316, -8388608]
0[-7758384, -7754048, -7759837, -7761597, -7758260, -7814027, -7741372, -8388608]
0[-7775543, -7754401, -7739367, -7762492, -7761082, -7812800, -7742819, -8388608]
0[-7780037, -7755878, -7737818, -7765067, -7767511, -7809992, -7745497, -8388608]
0[-7762426, -7756121, -7770115, -7765229, -7767042, -7806506, -7745561, -8388608]
0[-7752166, -7756076, -7788779, -7763318, -7762512, -7804117, -7743407, -8388608]
0[-7758828, -7754853, -7779304, -7762132, -7758883, -7802786, -7742076, -8388608]
0[-7776680, -7753687, -7766044, -7761292, -7757053, -7802167, -7741359, -8388608]
0[-7782837, -7753342, -7765797, -7761279, -7757555, -7801561, -7741269, -8388608]
0[-7766881, -7753127, -7779505, -7761324, -7757748, -7801004, -7741270, -8388608]
0[-7754266, -7753084, -7783036, -7761391, -7757661, -7800333, -7741151, -8388608]
0[-7759626, -7753517, -7773151, -7760967, -7756532, -7799709, -7741065, -8388608]
0[-7777552, -7753300, -7760044, -7761072, -7757214, -7799183, -7741095, -8388608]
0[-7782353, -7753257, -7761083, -7761104, -7757711, -7798489, -7740975, -8388608]
0[-7764849, -7752594, -7775792, -7761057, -7757055, -7797907, -7740887, -8388608]
0[-7753787, -7752366, -7776365, -7761027, -7756781, -7797331, -7740909, -8388608]
0[-7759261, -7753312, -7766591, -7760886, -7757011, -7796687, -7740887, -8388608]
0[-7777406, -7752741, -7753811, -7760557, -7756695, -7796142, -7740931, -8388608]
0[-7781695, -7752826, -7755614, -7760836, -7756844, -7795517, -7740881, -8388608]
0[-7763966, -7751872, -7770472, -7760348, -7755669, -7795012, -7740902, -8388608]
0[-7753475, -7751920, -7770838, -7760271, -7756044, -7794626, -7741039, -8388608]
0[-7759138, -7752607, -7760882, -7760364, -7756181, -7794097, -7741056, -8388608]
0[-7776974, -7753051, -7742137, -7760929, -7758370, -7793344, -7741154, -8388608]
0[-7780528, -7755507, -7739671, -7763864, -7765223, -7791097, -7743556, -8388608]
0[-7763476, -7755421, -7770411, -7763417, -7763647, -7788145, -7743498, -8388608]
0[-7752076, -7753726, -7790583, -7761641, -7759652, -7786343, -7741658, -8388608]
0[-7759119, -7752904, -7781964, -7760650, -7756693, -7785466, -7740921, -8388608]
0[-7777892, -7752165, -7769104, -7760104, -7755294, -7785097, -7740736, -8388608]
0[-7782403, -7752652, -7770536, -7760524, -7756510, -7784573, -7740811, -8388608]
0[-7765392, -7751771, -7783988, -7760259, -7756893, -7783962, -7740711, -8388608]
0[-7753227, -7751397, -7786405, -7759822, -7755626, -7783601, -7740875, -8388608]
0[-7759599, -7752601, -7776366, -7760087, -7755594, -7783211, -7741041, -8388608]
0[-7778153, -7751901, -7763589, -7759969, -7755263, -7782839, -7741232, -8388608]
0[-7782383, -7751929, -7765457, -7759969, -7755820, -7782431, -7741369, -8388608]
0[-7765539, -7751797, -7779031, -7760062, -7756252, -7781873, -7741347, -8388608]
0[-7753417, -7751583, -7781372, -7759889, -7756216, -7781378, -7741349, -8388608]
0[-7759547, -7752075, -7770999, -7759852, -7755907, -7780821, -7741354, -8388608]
0[-7777851, -7751744, -7758055, -7759802, -7755591, -7780177, -7741259, -8388608]
0[-7781020, -7751500, -7760380, -7759489, -7755594, -7779499, -7741157, -8388608]
0[-7763564, -7751075, -7774131, -7759619, -7755943, -7778897, -7741135, -8388608]
0[-7752538, -7751072, -7775326, -7759578, -7755684, -7778361, -7741157, -8388608]
0[-7759284, -7751906, -7764967, -7759541, -7755307, -7777852, -7741137, -8388608]
0[-7777648, -7751321, -7752238, -7759108, -7754882, -7777339, -7741080, -8388608]
