0[-7594897, -7573817, -7583355, -7575461, -7595951, -7569871, -7592182, -8388608]
0[-7602716, -7574902, -7570996, -7573311, -7594439, -7573730, -7593878, -8388608]
0[-7586544, -7576848, -7595171, -7572786, -7592187, -7576791, -7594912, -8388608]
0[-7572984, -7577839, -7617969, -7573273, -7590122, -7579953, -7595010, -8388608]
0[-7578017, -7576416, -7609617, -7572562, -7589184, -7584207, -7594230, -8388608]
0[-7595832, -7575700, -7584936, -7572922, -7588582, -7588926, -7593965, -8388608]
0[-7604084, -7576694, -7572702, -7575014, -7587387, -7593033, -7595797, -8388608]
0[-7588612, -7579182, -7596696, -7576071, -7585441, -7596375, -7596551, -8388608]
0[-7575534, -7579029, -7620153, -7575195, -7583819, -7600093, -7596600, -8388608]
0[-7581142, -7577956, -7612811, -7573974, -7583448, -7604978, -7595659, -8388608]
0[-7599123, -7578296, -7588574, -7575342, -7583119, -7609892, -7596762, -8388608]
0[-7607337, -7579277, -7575874, -7577299, -7582027, -7614001, -7598146, -8388608]
0[-7591910, -7581411, -7599665, -7578037, -7580334, -7617454, -7599299, -8388608]
0[-7578557, -7580824, -7623860, -7576897, -7579001, -7621288, -7598391, -8388608]
0[-7584241, -7580139, -7616137, -7576484, -7578639, -7626017, -7598211, -8388608]
0[-7602189, -7580556, -7592031, -7577299, -7578260, -7632754, -7598657, -8388608]
0[-7610501, -7580235, -7579277, -7578009, -7577812, -7660492, -7598813, -8388608]
0[-7596027, -7581002, -7605432, -7578428, -7577889, -7673949, -7598839, -8388608]
0[-7584495, -7580302, -7629847, -7577872, -7578674, -7669021, -7597729, -8388608]
0[-7591910, -7579358, -7621804, -7578072, -7580410, -7664629, -7596884, -8388608]
0[-7610781, -7578880, -7601862, -7579220, -7582439, -7660483, -7596977, -8388608]
0[-7619653, -7580024, -7586665, -7579554, -7584046, -7655902, -7598725, -8388608]
0[-7603279, -7581622, -7612199, -7578709, -7584700, -7650436, -7599860, -8388608]
0[-7591138, -7581217, -7635136, -7578666, -7585801, -7645447, -7598710, -8388608]
0[-7598198, -7580521, -7625598, -7579557, -7587545, -7641170, -7598747, -8388608]
0[-7615322, -7580142, -7606364, -7580900, -7589723, -7637290, -7598196, -8388608]
0[-7624168, -7581139, -7590115, -7581396, -7591367, -7632894, -7600159, -8388608]
0[-7608549, -7582221, -7612783, -7580706, -7592195, -7627642, -7600894, -8388608]
0[-7593059, -7582682, -7638949, -7580553, -7593289, -7622697, -7600455, -8388608]
0[-7599231, -7581676, -7630907, -7581329, -7594982, -7618339, -7599749, -8388608]
0[-7616681, -7581489, -7614062, -7582604, -7597100, -7614382, -7599440, -8388608]
0[-7625928, -7581739, -7605335, -7584275, -7599571, -7610845, -7599141, -8388608]
0[-7610674, -7582003, -7615195, -7585896, -7602066, -7607294, -7599712, -8388608]
0[-7598006, -7582152, -7619206, -7587230, -7604173, -7603443, -7600514, -8388608]
0[-7604409, -7582128, -7606410, -7588374, -7606196, -7599480, -7600669, -8388608]
0[-7619332, -7583491, -7581649, -7589007, -7608104, -7593304, -7601887, -8388608]
0[-7626833, -7585822, -7577992, -7588067, -7608576, -7564829, -7604536, -8388608]
0[-7610682, -7587404, -7600374, -7585998, -7607513, -7549909, -7606009, -8388608]
0[-7593471, -7588565, -7627274, -7583974, -7606214, -7553721, -7606034, -8388608]
0[-7597887, -7587759, -7625060, -7583495, -7605886, -7558662, -7605291, -8388608]
0[-7615407, -7587652, -7600799, -7584704, -7605809, -7563827, -7605952, -8388608]
0[-7622561, -7589276, -7587129, -7587072, -7604862, -7568187, -7608179, -8388608]
0[-7606774, -7590873, -7607891, -7587994, -7603102, -7571790, -7609091, -8388608]
0[-7591027, -7591600, -7634268, -7587194, -7601381, -7575479, -7608895, -8388608]
