0[-8019669, -7710254, -7686608, -7718650, -7718816, -7754715, -8097158, -8388608]
0[-8015541, -7711276, -7701977, -7719494, -7721262, -7751714, -8096994, -8388608]
0[-7992680, -7710247, -7737015, -7718187, -7717687, -7749050, -8096866, -8388608]
0[-7982544, -7708709, -7743941, -7716768, -7713846, -7747759, -8096786, -8388608]
0[-7992191, -7708031, -7732052, -7716560, -7713521, -7746682, -8096681, -8388608]
0[-8011576, -7707776, -7720367, -7716169, -7712465, -7745959, -8096583, -8388608]
0[-8008825, -7708331, -7727234, -7716482, -7713367, -7745272, -8096598, -8388608]
0[-7987995, -7708487, -7739526, -7716572, -7713624, -7744324, -8096542, -8388608]
0[-7979637, -7708186, -7736413, -7716365, -7713452, -7743344, -8096437, -8388608]
0[-7989396, -7708211, -7724516, -7716331, -7713416, -7742320, -8096236, -8388608]
0[-8008160, -7708837, -7712595, -7716889, -7714776, -7741110, -8096226, -8388608]
0[-8005272, -7708472, -7718361, -7716564, -7713889, -7739933, -8096199, -8388608]
0[-7984692, -7708155, -7729852, -7716307, -7713481, -7738893, -8096080, -8388608]
0[-7975087, -7708311, -7728554, -7716497, -7714202, -7737832, -8095945, -8388608]
0[-7985037, -7708379, -7716589, -7716492, -7714071, -7736796, -8095904, -8388608]
0[-8003833, -7708135, -7704932, -7716041, -7713182, -7735786, -8095853, -8388608]
0[-8000686, -7708264, -7711185, -7716511, -7713287, -7734754, -8095764, -8388608]
0[-7980219, -7708194, -7723176, -7716199, -7713650, -7733701, -8095676, -8388608]
0[-7971209, -7708235, -7720872, -7716253, -7713923, -7732633, -8095595, -8388608]
0[-7981175, -7708246, -7706547, -7716402, -7714209, -7731549, -8095543, -8388608]
0[-7998566, -7710258, -7686521, -7719116, -7720372, -7729597, -8095594, -8388608]
0[-7991929, -7711659, -7702244, -7720468, -7723209, -7726263, -8095631, -8388608]
0[-7969638, -7710560, -7736663, -7718566, -7717396, -7723499, -8095507, -8388608]
0[-7961757, -7708327, -7741439, -7716669, -7713325, -7722231, -8095299, -8388608]
0[-7972072, -7708596, -7729357, -7716711, -7713883, -7721230, -8095156, -8388608]
0[-7989873, -7708783, -7717908, -7717149, -7714721, -7720085, -8095115, -8388608]
0[-7984544, -7708690, -7725349, -7716872, -7714724, -7718824, -8095018, -8388608]
0[-7964236, -7708682, -7736827, -7717057, -7714818, -7717552, -8094906, -8388608]
0[-7957346, -7708938, -7732233, -7716996, -7714771, -7716281, -8094879, -8388608]
0[-7967527, -7708552, -7719951, -7716652, -7713542, -7715082, -8094723, -8388608]
0[-7985154, -7708637, -7708794, -7716691, -7714729, -7713984, -8094666, -8388608]
0[-7980532, -7709101, -7715572, -7717280, -7715481, -7712697, -8094659, -8388608]
0[-7960132, -7708894, -7727176, -7717143, -7714995, -7711367, -8094607, -8388608]
0[-7952036, -7708725, -7723777, -7716893, -7714779, -7710096, -8094527, -8388608]
0[-7962329, -7709144, -7709522, -7717130, -7715799, -7708680, -8094429, -8388608]
0[-7978690, -7710947, -7689526, -7719337, -7720433, -7706545, -8094408, -8388608]
0[-7971490, -7711904, -7704929, -7720344, -7723018, -7703309, -8094342, -8388608]
0[-7949737, -7710754, -7739013, -7718892, -7718362, -7700579, -8094270, -8388608]
0[-7942627, -7708508, -7742584, -7717007, -7713320, -7699372, -8094236, -8388608]
0[-7953874, -7708144, -7730636, -7716414, -7712357, -7698846, -8094150, -8388608]
0[-7971507, -7708432, -7720134, -7716740, -7712944, -7698270, -8094129, -8388608]
0[-7966635, -7708482, -7727997, -7716655, -7713008, -7697521, -8093977, -8388608]
0[-7946859, -7708185, -7739889, -7716497, -7713029, -7696689, -8093832, -8388608]
0[-7940477, -7708227, -7736037, -7716504, -7712741, -7695939, -8093743, -8388608]
0[-7951771, -7708383, -7723832, -7716481, -7712634, -7695180, -8093682, -8388608]
0[-7969006, -7707930, -7713590, -7716245, -7712197, -7694482, -8093574, -8388608]
0[-7963094, -7708242, -7722306, -7716274, -7712764, -7693787, -8093496, -8388608]
0[-7943523, -7707947, -7733762, -7716279, -7711879, -7693001, -8093426, -8388608]
0[-7938139, -7708104, -7729176, -7716286, -7712521, -7692217, -8093373, -8388608]
0[-7949326, -7708487, -7717009, -7716629, -7714724, -7681471, -8093312, -8388608]
0[-7964940, -7710342, -7705872, -7718114, -7720543, -7655621, -8093181, -8388608]
0[-7955036, -7711027, -7714403, -7718846, -7721222, -7658319, -8093086, -8388608]
0[-7934511, -7710687, -7722729, -7718402, -7719447, -7666787, -8092962, -8388608]
0[-7928987, -7710589, -7714572, -7718498, -7720116, -7675386, -8092830, -8388608]
0[-7938561, -7710995, -7695491, -7719157, -7721821, -7683776, -8092739, -8388608]
0[-7952089, -7711121, -7680665, -7721499, -7727974, -7690704, -8092613, -8388608]
0[-7939909, -7710196, -7703844, -7722052, -7729024, -7696751, -8092582, -8388608]
0[-7918198, -7709696, -7734764, -7721350, -7725312, -7703456, -8092621, -8388608]
0[-7912577, -7710345, -7733662, -7720132, -7722306, -7711366, -8092569, -8388608]
0[-7922420, -7711283, -7719947, -7719940, -7721871, -7719652, -8092503, -8388608]
0[-7937132, -7712225, -7708471, -7720007, -7721474, -7727947, -8092386, -8388608]
0[-7929291, -7712758, -7715039, -7720141, -7721424, -7741491, -8092326, -8388608]
0[-7909068, -7710520, -7725509, -7718351, -7715900, -7776258, -8092216, -8388608]
0[-7903192, -7709420, -7722161, -7717480, -7713666, -7786531, -8092141, -8388608]
0[-7915476, -7709727, -7706989, -7717819, -7714469, -7785823, -8092079, -8388608]
0[-7930776, -7711981, -7689818, -7720531, -7720953, -7783946, -8091927, -8388608]
0[-7921322, -7713103, -7711357, -7721197, -7722948, -7780767, -8091907, -8388608]
0[-7900839, -7711397, -7744041, -7719355, -7717767, -7778573, -8091939, -8388608]
0[-7896207, -7710260, -7743266, -7718567, -7715772, -7777549, -8092011, -8388608]
0[-7908393, -7709934, -7730683, -7718062, -7714134, -7776716, -8091907, -8388608]
0[-7924557, -7709533, -7721380, -7717766, -7713421, -7776052, -8091707, -8388608]
0[-7917455, -7709795, -7731346, -7717970, -7714467, -7775362, -8091628, -8388608]
0[-7898361, -7709825, -7742077, -7717730, -7714429, -7774551, -8091602, -8388608]
0[-7894049, -7709854, -7736407, -7718205, -7715190, -7773741, -8091552, -8388608]
0[-7906591, -7709695, -7724116, -7718001, -7714830, -7772786, -8091501, -8388608]
0[-7922539, -7709270, -7715058, -7717629, -7713906, -7772022, -8091364, -8388608]
0[-7914947, -7709474, -7724716, -7717692, -7713907, -7771207, -8091222, -8388608]
0[-7895918, -7709380, -7735638, -7717751, -7714457, -7770499, -8091199, -8388608]
0[-7892171, -7709496, -7730371, -7717446, -7713929, -7769872, -8091181, -8388608]
0[-7905016, -7709228, -7718020, -7717532, -7714236, -7769216, -8091154, -8388608]
0[-7920892, -7709054, -7709246, -7717326, -7713359, -7768542, -8091066, -8388608]
0[-7913179, -7709219, -7719079, -7717586, -7714230, -7767853, -8090954, -8388608]
0[-7893804, -7709401, -7729692, -7717602, -7714478, -7766916, -8090926, -8388608]
0[-7889997, -7709221, -7724097, -7717588, -7713837, -7766070, -8090775, -8388608]
0[-7902861, -7709307, -7708591, -7717694, -7714716, -7765251, -8090657, -8388608]
0[-7917089, -7711864, -7692029, -7720381, -7721767, -7763126, -8090601, -8388608]
0[-7906492, -7712694, -7714450, -7720941, -7723062, -7759876, -8090567, -8388608]
0[-7885703, -7711651, -7745865, -7719384, -7718578, -7757374, -8090551, -8388608]
0[-7881396, -7710896, -7743384, -7718778, -7717287, -7755870, -8090569, -8388608]
0[-7893729, -7710454, -7729932, -7718662, -7716695, -7754412, -8090462, -8388608]
0[-7908234, -7710942, -7720690, -7718969, -7717495, -7752827, -8090384, -8388608]
0[-7898820, -7710923, -7729991, -7719009, -7717782, -7751217, -8090396, -8388608]
0[-7879192, -7710661, -7739518, -7718706, -7716662, -7749762, -8090316, -8388608]
0[-7875519, -7710807, -7732907, -7718789, -7717049, -7748405, -8090276, -8388608]
0[-7888228, -7710546, -7719627, -7718592, -7716352, -7747055, -8090189, -8388608]
0[-7902426, -7710554, -7710508, -7718522, -7716327, -7745634, -8089962, -8388608]
0[-7892849, -7711246, -7720171, -7719407, -7718475, -7743997, -8089906, -8388608]
0[-7873101, -7711228, -7729447, -7719208, -7717907, -7742286, -8089914, -8388608]
0[-7869469, -7710744, -7722467, -7718732, -7716774, -7740777, -8089795, -8388608]
0[-7882196, -7710732, -7705556, -7719104, -7717813, -7739264, -8089636, -8388608]
0[-7895051, -7712532, -7689934, -7721577, -7723734, -7736654, -8089575, -8388608]
0[-7882636, -7713092, -7713524, -7722019, -7724384, -7733073, -8089481, -8388608]
0[-7862142, -7712449, -7744187, -7719986, -7719342, -7730457, -8089372, -8388608]
